                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4186,                 4.5659,                 1.8951,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0
                      2,                 3.6387,                 4.5543,                 2.8594,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              9.901e-06,              9.901e-06,              9.901e-06
                      3,                 3.7175,                 4.6226,                 2.6513,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.9604e-05,             1.9604e-05,             1.9604e-05
                      4,                 3.6946,                 5.3677,                 2.2738,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             2.9109e-05,             2.9109e-05,             2.9109e-05
                      5,                 3.1519,                 4.9598,                 1.7052,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             3.8416e-05,             3.8416e-05,             3.8416e-05
                      6,                 2.8661,                 4.7014,                 1.9105,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             4.7525e-05,             4.7525e-05,             4.7525e-05
                      7,                  3.698,                  4.736,                 2.5004,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             5.6436e-05,             5.6436e-05,             5.6436e-05
                      8,                 3.7677,                 4.6682,                 2.6828,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             6.5149e-05,             6.5149e-05,             6.5149e-05
                      9,                 2.4268,                 4.5538,                 1.6888,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.3664e-05,             7.3664e-05,             7.3664e-05
                     10,                 2.7668,                  5.127,                 1.5128,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.1981e-05,             8.1981e-05,             8.1981e-05
                     11,                 3.9394,                 4.9619,                 2.5646,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               9.01e-05,               9.01e-05,               9.01e-05
                     12,                 3.1596,                 4.8314,                 2.1707,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             9.8021e-05,             9.8021e-05,             9.8021e-05
                     13,                 3.1276,                  4.482,                 2.5717,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00010574,             0.00010574,             0.00010574
                     14,                 1.8776,                  4.292,                 1.2588,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00011327,             0.00011327,             0.00011327
                     15,                 2.9197,                 5.0691,                  1.795,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0001206,              0.0001206,              0.0001206
                     16,                 2.4702,                 4.4461,                 1.5563,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00012773,             0.00012773,             0.00012773
                     17,                 2.5676,                 4.3935,                 1.8121,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00013466,             0.00013466,             0.00013466
                     18,                 2.1268,                 4.5591,                 1.5263,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00014139,             0.00014139,             0.00014139
                     19,                 2.6957,                 4.5997,                 1.9131,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00014792,             0.00014792,             0.00014792
                     20,                 2.4569,                 4.6443,                  1.677,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00015426,             0.00015426,             0.00015426
                     21,                 2.3786,                  4.383,                 1.8479,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0001604,              0.0001604,              0.0001604
                     22,                 2.3751,                 4.5403,                 1.8325,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00016634,             0.00016634,             0.00016634
                     23,                 2.1081,                 4.5323,                 1.5888,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00017208,             0.00017208,             0.00017208
                     24,                 1.9254,                 4.2735,                 1.4861,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00017763,             0.00017763,             0.00017763
                     25,                 3.1081,                 4.6609,                 2.4974,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00018298,             0.00018298,             0.00018298
                     26,                 2.1172,                 4.2297,                 1.7654,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00018812,             0.00018812,             0.00018812
                     27,                 1.4914,                 4.2091,                 1.2439,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00019308,             0.00019308,             0.00019308
                     28,                 1.8801,                 4.4008,                 1.5174,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00019783,             0.00019783,             0.00019783
                     29,                 2.6567,                 4.8057,                 1.8125,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00020238,             0.00020238,             0.00020238
                     30,                 2.1885,                 4.3021,                 1.7551,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00020674,             0.00020674,             0.00020674
                     31,                 2.0693,                 4.3243,                 1.6573,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002109,              0.0002109,              0.0002109
                     32,                 1.6178,                 4.6582,                  1.288,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00021486,             0.00021486,             0.00021486
                     33,                 2.6035,                 4.3733,                 2.4206,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00021862,             0.00021862,             0.00021862
                     34,                 1.9348,                 4.0258,                 1.5048,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00022219,             0.00022219,             0.00022219
                     35,                 2.6637,                 5.0361,                 1.7764,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00022556,             0.00022556,             0.00022556
                     36,                 2.7148,                 4.5096,                 1.9515,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00022873,             0.00022873,             0.00022873
                     37,                 2.2384,                 4.2421,                 1.4677,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002317,              0.0002317,              0.0002317
                     38,                 2.0268,                  4.307,                 1.4801,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00023447,             0.00023447,             0.00023447
