                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2319,                 5.4144,                 2.2155,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  4e-05,                  4e-05,                  4e-05
                      2,                 2.8302,                 5.3297,                 1.9592,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.9406e-05,             8.9406e-05,             8.9406e-05
                      3,                 2.8967,                 5.3018,                 2.0516,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00013815,             0.00013815,             0.00013815
                      4,                 2.1256,                 4.7888,                 1.6437,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00018624,             0.00018624,             0.00018624
                      5,                 1.9798,                 4.6431,                  1.666,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00023366,             0.00023366,             0.00023366
                      6,                 2.0147,                 4.6558,                 1.6415,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00028043,             0.00028043,             0.00028043
                      7,                 1.9205,                 4.6624,                 1.5271,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00032654,             0.00032654,             0.00032654
                      8,                 2.0877,                 4.7711,                 1.7593,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00037198,             0.00037198,             0.00037198
                      9,                   2.22,                 4.7988,                 1.8547,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00041677,             0.00041677,             0.00041677
                     10,                 2.2939,                 4.6661,                 1.7685,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00046089,             0.00046089,             0.00046089
                     11,                 1.9679,                 4.5605,                 1.6522,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00050436,             0.00050436,             0.00050436
                     12,                 2.0332,                 4.7697,                 1.5746,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00054717,             0.00054717,             0.00054717
                     13,                 1.7838,                 4.0545,                 1.5057,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00058931,             0.00058931,             0.00058931
                     14,                 1.6407,                 4.0544,                  1.428,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006308,              0.0006308,              0.0006308
